Genes	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\1A_RA2_1_24819.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\1B_RD3_1_24856.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\1C_RF5_1_24884.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\2A_G1_1_24820.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\2B_RD4_1_24857.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\2C_RF6_1_24885.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\3A_RA4_1_24822.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\3B_RD5_1_24858.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\3C_G1_1_24886.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\4A_RA5_1_24823.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\4B_RD6_1_24859.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\4C_RF8_1_24888.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\5A_RA6_1_24824.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\5B_RD7_1_24860.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\5C_RF9_1_24889.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\6A_RA7_1_24825.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\6B_RD8_1_24861.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\6C_RF10_1_24890.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\7A_G1_1_24826.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\7B_G1_1_24862.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\7C_RF11_1_24891.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\8A_RA9_1_24828.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\8B_RD10_1_24866.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\8C_RG1_1_24892.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\9A_RA10_1_24829.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\9B_RD11_1_24867.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\9C_RG2_1_24893.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\10A_RA11_1_24830.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\10A_RA11_1_24832.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\10B_RE1_1_24868.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\10C_RG3_1_24894.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\11A_RB1_1_24833.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\11B_RE2_1_24869.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\11C_RG4_1_24895.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\12A_RB2_1_24834.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\12B_RE3_1_24870.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\12C_RG5_1_24896.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\13A_RB3_1_24835.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\13B_RE4_1_24871.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\13C_G1_1_24897.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\14A_RB4_1_24837.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\14B_RE5_1_24872.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\14C_RG7_1_24899.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\15A_RB5_1_24838.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\15B_RE6_1_24873.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\15C_RG8_1_24900.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\16A_RB6_1_24839.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\16B_RE7_1_24874.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\16C_RG9_1_24901.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\17A_G1_1_24840.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\17B_G1_1_24875.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\17C_RG10_1_24902.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\18A_RB8_1_24842.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\18B_RE9_1_24877.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\18C_RG11_1_24903.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\19A_RB9_1_24843.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\19B_RE10_1_24878.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\19C_RH1_1_24904.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\20A_RB10_1_24844.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\20B_RE11_1_24879.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\20C_RH2_1_24905.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\22A_RB11_1_24845.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\22B_RF1_1_24880.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\22C_RH3_1_24906.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\23A_RC1_1_24846.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\23B_RF2_1_24881.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\23C_RH4_1_24907.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\24A_RC2_1_24847.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\24B_RF3_1_24882.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\24C_RH5_1_24908.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\25A_RC3_1_24848.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\25B_RF4_1_24883.d	D:\Mass_spectrometry\Raw_data\Joakim\Simon Horse second run2\25C_G1_1_24909.d
PPP2R3B		2180.83	1961.15	1491.25			859.63	1909.76	1604.53			2601.95	1388.5	1955.27	1500.1		734.407	1409.43	1116.56	1440.61	882.26	1864.63	3666.82	2179.66	2033.82	1742.94	771.401			2478.21	1120.36	1606.95				2886.74	1759.11	3702.98	1334.99			2818.05	606.897	1838.95	1313.69	1233.22	1622.18	1902.86	316.858	1667.94	1982.12	1436.18		1780.87	828.906		3173.79	2197.78		1508.22			1849.44	2472.98	2243.78	1065.85		1142.01	2885.62	3183.3		899.163	
PPP2R5A			420.859						217.757			292.743		369.105						337.126										404.208			541.244			590.425			189.573									590.063									588.44	300.461		806.481									562.985				
PPP2R5E									108.459																																							253.77												227.026									192.596				
PPP3CA	3400.06	2515.97	1113.01	2597.45	1877.7		1954.98	2031.22		3028.86	1641.3	1388.95	1722.78	1884.03	1269.47		1439.49		3287.7	2027.92	848.366	2165.62	2220.51		2087.09	1740.65	933.332		2266.89	2086.47		3145.96	925.025	1932.74	6975.48	2195.32		5093.22	2090.74	1316.33	1584.89	2455.59	851.876	1776.46	2172.57	864.818		2572.56		2489.01	1740.61	1255.82	3751.16	2118.45	510.711		2311.13	2181.15		1658.98	976.772		1647.53	2142.29	2348.44	1523.74	1322.57		1461.35	1445.06		1271.58	
PPP3CB	3135	942.517		2401.51	2849.5		2622.6	960.474		953.385	1537.07	447.334	3656.79	975.038	1196.52	1973.46	2248.47		2461.81	466.469		3210.02	848.337		2239.4	3145.47	628.23		2011.51	872.691		2537.34	1777.56	304.58	3829.04	1227.75		3146.81	2177.43			901.489		1180.88	1996.14		2210.28	1171.02	254.579		2527.46		1694.8	1863.02	435.128		1038.17	1489.6	1386.53	1334.95	1220.41			1922.09	2621.67			1605.98	309.411	812.655	2494.68	439.678	
PPP3CC	880.725	1440.92						1930.77				772.652		2197.8						1616.22			3738.12		1389.16	199.605				1779.89						1196.85		2808.53				2599.28			693.613			2325.88		555.084			949.385	804.238			1586.09	575.301					1235.91	714.503	1728.16				1709.75	1536.26			
PPP3R1		799.162	385.753						873.111		314.975	1261.79			415.949					924.326	330.837		840.92			661.164	369.228							417.731		435.966	1083.23					1164.8				446.254		1398.02	307.341		392.618			1375.6	444.596		1327.22	817.338		1283.06			565.32			540.219	411.238		1554.66	693.473		1003.37	
PPP5C	11043	9598.25	9306.72	12707.3	8391.3	7143.87	12303.7	10272.9	5251.06	8175.53	5615.09	8369.08	11294.3	5874.16	8942.66	11785.1	5724.45	5490.25	11743.9	9587.28	6827.57	10009.6	8164.82	8513.32	11079.1	6527.68	12258.3		9966.39	8400.48	7344.86	9062.77	7516.48	6696.46	8729.07	9475.93	5031.95	16849.6	13044.3	8634.15	7088.85	8748.23	10527.4	9946.89	12226	6306.11	10488.9	6930.51	7944	9649.6	14799.6	4831.46	12189.9	11421.1	9759.58	3290.99	9067.28	7321.07	7147.07	9209.49	7221.31	8236.79	10076.7	8275.43	9439.08	8908.07	7124.54	7729.52	7770.74	9638	13046.8	8852.1	
PPP6C	3385.81	2030.52	3190.4	3074.75	3485.78	2469.62	2490.16	3104.28	2869.71	1903.41	3995.28	3896.6	2246.31	2940.6	5684.09	1578.64	4058.05	2880.01	2302.28	3735.01	3033.57	2554.48	4346.91	3426.23	2206.69	4780.88	3185.63		3385.23	3602.12	2664.98	2729.84	4670.49	2962.79	3447.99	4414.6	2191.74		4123.95	4183.61	2054.5	4627.83	4450.51	3032.36	3272.84	3040.29	2673.15	3624.35	3232.9	2450.2	4073.14	2414.86		4643.78	2559.2		4958.24	2252.47		4338.86	4259.41		4621	3108.06	2457.6	3722.29	2512.23		3339.05	3662.73	4111.91	2723.08	
PPP6R3			846.269	1400.15	856.008			1129.69	466.7		1524.51	946.988		926.175	1240.33		1034.94	816.648			1085.44			705.402		1168.09	1088.01						1108.65									1072.39			794.915	688.344			818.244			1223.96			1396.74			1025.87		1060.19						1271.43	1143.12			791.829			
PPT1	1505.04	1994.46	2674.88	2719.94	3253.62	2902.17	1395.36	1171.1	1782.55		2137.11	2298.35	2184.24	1102.6	2641.52	2571.59	2066.27	1397.63		1851.25	2829.98	1751.17	2134.81	2116.02	2692.59	3494.51	2261.88		3376.93	3441.83	2321.48		2407.51	1998.97		1986	2307.3		1296.88	1330.58	2340.44	2334.92	1788.26	3824.13	1507.31	2003.15	1588.79	1821.16	2583.53	2358.85	1967.43	3491.27		1823.59	1869.82		1992.89	2098.61	3043.45	2383.83	1427.31		3232.76	2101.47	27218	3073.72	2471.94		3041.26	1985.51	3335.13	2663.93	
PPTC7		2289.21	1798.11		2637.75	1830.65		1634.82	1637.24		2087.22	2716.62		2030.75	3048.86		2039.38	3293.19		2098.97	1667.64		3361.41	1365.03		2660.29	3212.12			2323.05	1190.42		2080.14	2096.75		1979.38	2533.2		2318.36			2222.24	2050.3		1966.72			2611.48		4241.8		3695.22		3323.68	2285.72		1920.32	3542.35		1947.55	2617.43		2019.67	2761.96		1766.22	2843.47		2241.24	3420.67		2559.37	
PRAF2				1050.4	2036.45			778.414			1226.67			1366.87			1010.09						1380.21			1647.62	561.41				445.855		1296.53	318.586		1000.27	780.082		1926.92			1571.81	866.154			678.921	1867.12	1390.24	837.24			1049.83		1284.73				1998.11		1119.9			959.646	1227.42		1188.5	1328.28		1560.9	885.8			
PRCP		998.438	965.307		207.982	911.42		1205.15	731.311		633.529	969.842		1254.89	553.23		163.928	720.547	272.144	1392.39	230.364		1495.73	631.765			794.52			1222.97	652.552			1261.83		721.365	846.321		907.424			1286.87	608.461			680.093		948.317	841.755					1206.03			1476.13			559.703			1055.53	790.971	1364.52	444.005			1189.76	572.599		501.647	
PRDX1	34165.2	37068.2	33272.3	31114.9	31062	32404.4	37525.8	26657.5	26703.8	28185.2	26162.3	31273.8	39189.1	36710.9	39851.9	26357.7	24035.8	42502.1	35985.6	41095.4	31040.7	27055.6	31738.1	38615.3	35794.9	28484.2	40757.4		29723.4	32471.8	27552.3	17383.8	23585.3	31826.1	16503.2	30832	23189.5	64317.4	27942.5	32451.6	26384	30521.2	29921	38282.8	27975	32715.8	33921.2	28710.5	27217.4	24110.9	33181	39748	29232.8	31960.2	46569.8	14442.3	37309.2	35260.4	22178.9	33970.1	48289	14204	30910.3	40807	24577.4	40850.1	43147.4	25280.5	30458.9	37567	24530.7	30675.6	28303.2
PRDX2	1.11403e+06	1.25075e+06	765572	1.13543e+06	796971	692446	1.31017e+06	868651	688021	1.93178e+06	650805	822659	1.58499e+06	674961	1.07836e+06	1.58678e+06	766699	916267	1.71003e+06	820883	565796	1.29942e+06	949931	991360	1.67923e+06	1.09917e+06	869070		1.23548e+06	845021	686051	1.37526e+06	595942	624218	1.25218e+06	1.20309e+06	621116	2.75409e+06	1.19094e+06	768922	933379	893980	672624	1.1526e+06	1.30875e+06	707880	1.16003e+06	859137	510338	1.62001e+06	1.20035e+06	880644	1.7903e+06	749099	748523	768840	1.04637e+06	963525	1.45215e+06	716680	1.36175e+06	950515	828428	1.23878e+06	1.10621e+06	1.07745e+06	723507	1.60132e+06	832501	1.0859e+06	1.16276e+06	628312	992178
PRDX3	141403	129667	128947	93725.3	83597.2	172810	117874	103736	140898	50915.4	93536.8	191724	78058.4	85169.4	164509	88430	91372.1	137686	97984.4	118395	174136	95550.3	121499	172248	140729	111152	159710		94533.3	148642	154904	109652	102355	164016	32773.6	113904	121708		113268	184263	137642	143093	140133	96171.8	98371.1	128530	111127	106237	146970	141314	84907.3	73702.9	115416	128515	135015	37271.5	139455	119165	72863.9	142190	90228.3	35397.9	111914	119964	143567	132883	128538	125464	148368	154951	96804.4	138419	219839
PRDX4	29636.5	50432.5	32609.4	33447.9	50071.8	33779	28122.3	53328.8	38674.2	33905.4	21056.5	52609.9	41920.9	48483.5	36553.7	29834.1	24306.8	47860.1	43962.1	48398.7	29536.6	41928.6	53798	36639.9	13769.7	40152.1	29347.8		32821.5	45358.7	47436.7	41755.8	28343.8	33736.9	62886.2	54902.7	41039.5	121598	60074.2	37848.7	28000.8	47177.6	51312.1	63622.4	53303.3	47945.2	44340.4	47352.2	26033.8	42558.2	63526.3	39165.4	29800.5	37239.8	29777.8	33596.1	70237.4	44926.5	17368.2	34608.8	52587.9	70455.8	51756.8	57045.8	36426.7	39076	32303.9	30561.2	44219.4	43418.9	30886.5	29476.4	
PRDX5	59758.9	70126.8	57393	55790.6	61718	56950.1	54613.8	51844.8	45780.7	44324	45922.4	67620.8	60391.1	54494.9	75263	51740.3	54665.9	67220.5	58330.9	51653	56943.8	54505.9	63033.7	58475.4	58674.4	67072.9	75749.2		46787.9	62071.6	68302.5	55519.8	59772.7	66226.8	16614.1	57835.4	56900.8		56476.2	56396.5	51629.6	56677.8	51038.4	72128.4	53914.6	58097.9	47804.8	53705.5	50497.7	62385.4	54355.7	46429.9	63233.4	57548.1	66950.6	32706.1	64492.1	60797.3	49457.2	50453.5	69074.6	24145.7	59257.5	70995.3	51758	61881.1	62978.9	56639.2	53532.9	62587.5	51657.7	65643.4	25762.7
PRDX6	283252	177887	226537	178637	167459	240773	190669	185535	267430	96626.6	97898.3	319966	153580	258838	413374	153591	139515	233572	165775	228743	242537	112148	270743	293786	225086	223645	227648		166471	196090	203102	119035	161492	223144	73086.5	189886	158614	571919	181690	306381	203760	265684	222420	119085	328458	203243	145272	273802	258644	129900	234492	160395	189114	312914	279816	81024.4	267503	203696	101962	286189	179830	75069.8	198484	189528	188342	239016	167579	156575	296784	332137	175432	200300	611732
PRELP	33462.4	24261.6	15104.6	12893.5	24531	30086.6	16646.5	13486.5	42511.4	35257.6	32455.1	26302.7	30880.2	51218.2	17893.7	14810.6	22754.2	46260.3	25587.4	34937	45112.9	10057.5	32034.9	62123.7	27736.9	32682.8	17057.3		28283.6	23396.4	35383.2	22084.3	28019.9	71001.2	26742.7	23398.6	49306.4	232433	14737.1	25938.2	30005.8	27136.2	47867.1	16112.7	17334.4	39770.6	32394	50068.3	31888	16826.5	17610.8	50656.5	14076.9	31736.7	23273.8	26118.7	29717.6	52633.3	72249.2	28305.7	32480.9	51858.6	42676	39147.5	47074.7	24880.8	30858.7	17610.1	37561.8	34252.3	64432.2	23076.5	57324.3
PREP	5749.87	7149.27	7329.52	7139.55	6830.72	6476.87	5968.67	7929.38	7310.15	9184.46	5794.37	7436.03	6701.31	8675.74	7608.5	10951.5	6496.39	6157.94	7204.6	8813.42	7422.6	7841.19	10136.2	8152.99	8495.39	7191.16	6946.46		6533.91	8141.59	8032.96	5999.92	6952.18	5230.58	8363.78	7478.57	6417.13	8230.31	6220.25	7714.09	6147.83	10425.4	8622.08	6804.93	8783.52	9835.17	6060.95	7821.07	6350.67	5786.09	8904.26	5629.69	6377.49	7029.61	6360.23		7491.86	5535.91	4056.36	8936.2	3300.4	5382.56	6248.24	4786.9	5235.85	7247.33	5294.06	6966.66	5649.41	6138.62	6432.55	5028.55	
PREPL	8383.25	7253.48	13374.9	9440.67	5857.44	9083.25	8462.2	6356.61	12371.1	5738.79	5856.44	7514.55	9656.76	10839.8	11899.1	11162.6	5636.08	8191.39	8883.73	8231.42	10272.5	7139.83	7436.94	6042.84	9538.12	5050.76	8958.33			8530.02	6488.84	8678.13	7288.5	8909.39		5895.22	3744.17	16742	6492.84	8380.3	6541.45	7341.03	6963.43	8292.94	8377.74	12994	9858.27	8261.35	11306.2	7276.8	6696.52	10774	8304.94	8203.9	7491.98		7464.69	6841.81	10191.5	8886.32	6776.61		5122.32	6132.48	6289.35	9144.38	7839.77	11936.6	9220.78	7066.99	5724.53	5842.74	
PRKAA1			2452.8	2402.39	2340.46			1269.72	2823.92		2001.58	2087.18		2082.43	3106.73		2342.87	3486.76		3951.43	1259.58		2679.89		1666.56	1877.45					1796.61		3274.04			2392.94			2491.11	2186.31					1632.77			2715.67				5307.68		1485.37	2382.88			2351.88	2102.88	1861.68			4039.51	2297.29		2526.38	1730.25		3131.97	2411.47			
PRKAA2	3929.18	4083.37	6057.3	5294	4536.55	1374.31	5563.23	3754.78	3390.41		6431.17	5060.13	3742.55	4624.42	7029.29		7745.14	2262.76	4164.89	4500.01	2369.73	3665.72	8367.33	1664.34	6059.17	4957.19	6638.18		4512.37	5663.55	1543.25		8412.16	1341.59		5489.48	3847.65		6385.45	1955.04	4830.6	6702.37	2337.09	3397.87	6612.76	2908.77	4886.94	11011.4	3302.83	5743.04	5329.92	6859.61	3147.63	6945.95	5058.1		5998.8	5639.25		13698.6	3951.65		6174.59	4758.52	4320.6	6945.72	6122.98	4706.48	9042.59	7451.47	4004.72	4174.51	102129
PRKAB1			1032.47	2862.87	1244.23	1610.35	2822.3				1493.52		1869.06				1630.46					2574.92			1723.27		1189.52					1865.51	762.835				810.611							2457.04			1126.53					1010.55			1063.23			463.381	2852.41							1516.6	1185.45	3938.27		1053.55			
PRKAB2	4293.62	2064.76	3831.52		1585.99	1386.66		1081.49	2185.2		3846.55	1766.11		1334.65	2567.05		3475.91	1610.12	793.894	2579.21	1188.33		2674.86		1795.06	2610.36	2351.14			1618.36	1226.78		3077.41	989.514			1661.17		1212.52	811.482	3192.41	2619.18			1503.77	1120.78		3405.46	1301.05	1227.83	1130.78	3865.53		1887.34	2356.1		2487.67	3663.6		3602.19	3746.72		3035.65	2569.52		2105.79	3562.12		4120.28	3820.01		3505.89	
PRKACA	3801.9	7679.88	3483.67	3225	2761.2	2527.32	1506.73	9411.09	2841.4	3137.34	2690.01	6240.41	2792.55	5301.48	3460.86	4851.76	2653.91	5331.02	2619.44	3727.2	1993.91	2071.16	5681.03	6652.53	4175.58	2163.53	1804.99		5489.86	7305.31	3275.1	7162.76	3417.81	2258.87		6859.77	4078.17	10125.1	2117.41	2155.63	822.535	6715.15	3308.54	4846.98	3722.19	3159.41	3123.69	6669.17	1505.9	8066.73	3153.27	2611.26	6058.13	3500.39	1843.19		5989.37	4931.78	5250.63	986.909	2804.65		5335.86	6156.04	7088.71	2937.99	1774.11		6127.71	4981.02	6643.23	3288.14	
PRKACB	3062.11	4787.65	2734.58	4256.46	2598.02	4939.12	2677.27	3720.79	4044.85	8528.52	11678.2	3771.57	8541.97	2956.65	3146.83	5732.57	7252.41	2124.87	4691.25	6002.6	6645.24	4771.07	4016.56	2117.69	4037.57	4792.68	5236.08			6198.8	3044.17	7852.59	7810.73	4849.09		3822.31	3752.47	4230.12	4568.3	3817.01	2236.8	3567.1	1784.58	5234.53	4856.68	7158.59	1579.88	3659.79	8539.32	3449.81	3244.36	3407.92	11814.8	5035.97	11201.9		5161.86	4145.9	7376.85	8825.4	7140.87		5726.09	3426	7603.3	5109.49	8623.17	3737.62	5421.51	5074.2	8660.24	13856.4	
PRKAG1							393.769												748.756																1729.35										581.934									646.12						1282.15													
PRKAG2		1951.64	2074.2		2315.4	2049.03		1438.15	1690.64		1580.9	946.804		2343.96	2204.2		1876.52	1231.85	1512.12	2517.23	1667.26	2083.63	3087.81	423.778			1774.11			1294.67	1045.28		2395.56			3349.49	1971.73		2403.64	1457.92		2027.9			2224.16	878.494		3449.76	1434.34	2526.66	1929.55	3562.37		2538.69	1506.84		2403.57	2018.17		3664.01			1600.01	1901.34	737.246	1995.97	1831.2		1830.91	891.427		1108.62	
PRKAR1A	14894.2	11212.4	14790.3	17994.3	14813.3	13709.5	19622.2	14868.1	22495.3	18493.4	11550.4	16638	17251.6	13026	18369.9	14263.4	11872	13906.2	17651.7	13279.6	13732.2	14756	14813.4	13706.1	14083.4	15167.8	16752.8		16961.4	10386.4	11828.5	15824.5	9976.48	18786.1	5774.26	13580.3	14644.7	36624.7	15287.8	22504	15793.3	15836	16853.4	12115.6	17597.2	14936.5	19127.9	14616.8	21353.4	10609.6	16887.3	14185.2	12316.3	18131.5	15438.3	12081.2	18614.9	14909.7	7474.96	18867.6	9493.25	27134.3	17124	14364.9	16348.4	17558.2	13882.4	10055.1	20553.2	17350.1	10164.1	11370.7	
PRKAR2A	6850.86	12462.1	5434.97	11199	9557.62	7663	10112.5	12075.3	8010.4	5559.4	9521.02	10165.6	10299.4	7678.48	10533.3	8868.72	8317.55	7095.65	9176.29	9158.95	6237.65	10012.4	8782.28	8770.51	8847.02	8501.39	8489.54		8604.53	12693	7497.43	14077.2	6483.55	9666.76		13036.7	9222.85	7216.47	13009.5	9346.92	11125.7	8827.26	9574.8	9512.15	10715.1	6139.18	9898.17	9239.22	6807.73	14312.6	11527.5	7701.31	7561.9	9015.91	7399.02	5649.17	11502.6	7628.48	11630.6	7962.99	10289.8	7110.92	8092.15	8880.91	9418.84	9639.95	6988.06	7211.63	8916.53	8697.12	12751	9627.96	520071
PRKAR2B	16078.9	24750.7	14957	11638.8	12212.7	7850.09	11274.3	18175.3	16359.3	4970.24	7855.2	29415.2	10450.3	23042.8	15610.6	11691.4	8661.26	27372.4	11431.4	26059.5	8277.45	8558.28	23042.9	17720.2	18620.4	9132.48	9313.85		7784.32	31825.7	12660.2	16885	3112.05	8093.4	9294.04	25040.6	16036	28537.2	19572.1	8760.33	4554.16	22145.3	10278.2	18321.5	18864.8	19196.4	7534.33	27997.7	7638.97	20226.2	15997.4	22956.2	9969.59	16184.1	10429.6		27032.6	23852.5	14589.1	12496.8	13456.2	14849.6	29637.1	29460.1	25281.3	12761.2	12498	9730.37	21936	34012.9	8340.77	11987.6	
PRKCA	3033.28	2052.96	3299.68	2273.26	1976.15	2106.93	1958.12	2264.24	2540.77		3777.29	3359.55		1776.57	2532.8		3190.65	2912.19		3659.04	2105.11	1789.94	2917.72	1451.19		3475.13	2607.47			2503.36	1875.08	1869.36	3043.04	1810.33		1420.23	2854.33	4033.81	3118.5	1374.51	2459.66	2489.49	1494.99	2279.46	2290.78	1827.45	1669.37	2636.53	2354.65	1825.3	2442.99	3970.03		2777.87	2312.23		2171.54	2279.89	1298.58	2846.86			3246.2	3487.52	1670.44	3547.66	3114.27		3133.56	3108.16	2657.39	3587.84	
PRKCD			928.782	962.62	517.536			599.921			701.564						634.112									972.096	773.109			849.523				539.859		664.453	879.023			1174.92	1259.86	1370.82	1075.92	1399.31	621.164			1172.2						1089.01	725.561			609.825		1187.12			461.826	750.532		911.264			1241.18	1006.88			
PRKCSH	5932.97	7935.29	3342.57	4642.68	5988.18	4618.06	4800.83	7068.98	3590.2	6747.49	5291.38	5600.9	5250.16	7361.87	4774.01	4785.54	5739.61	4055.32	6972.02	5155.15	6229.4	6462.22	6231.54	5831.34	4921.26	6438.72	4535.35		5992.01	5642.98	4890.8	6783.65	5555.02	5620.99	13125.6	6330.47	5392.99	13649.9	5609.74	7502.22	7626.29	5643.55	6962.07	4826.07	5033.81	5566.26	6262.27	5864.83	3866.23	6674.34	5894.21	4028.53	5942.99	4445.57	5678.28	3926.2	6389.82	8431.95	5201.33	4146.16	5326.46	8575.24	4994.22	8552.6	6131.87	3541.97	5523.32	8142.56	4147.65	6397.62	7612.63	3152.75	
PRKDC		5772.43				6785.52		6084.16	2790.2			4142.13						1515.5			6608.65			3485.56			4565.84			6283.88	3222.16						3421.71	11970.9		7559.64	8454.75	5866.28	7264.86	11107	5072.12		13434.4	4837.7	4850.83		2332.61				4180.1		6052.76	2057.1		3394.12			3634.19	3052.38		5031.93	4035.92		5214.19	5676.28		5878.17	
PRKG1			1495.78			1221.92			2427.57		2226.43	2708.84		1907.49	3060.96		2011.16	1741.09		1827.27	1820.65		3268.77			2174.89	2450				920.49		2655.02				1833.5		1563.15	1382.24		2460.56			1572.93	1955.89		3451.1	2388.43			1054.29		4849.91	3273.44			2278.44		5822.01			2309.84			3155.36	1191.04		4289.26	2777.38		2819.79	
PRKN		720.234	1040.54	521.149	740.906	749.688		709.827	519.078		1208.99	932.096		757.114	838.841		1144.44	741.99		1009.45	954.686		1138.52	747.514		330.09	1204.74			464.509	688.168		776.078	878.572		691.069	641.851			625.677	825.963	597.715			638.187	626.246		771.957	993.102					856.983	970.266		459.033	803.539		719.499			273.452	577.889		1062.65	534.223		1064.36	821.834		747.697	
PRMT1			591.825		653.916	890.062	536.605	610.256	1122.97		769.942	622.876		390.853	733.235		946.116	996.568		700.038	749.725		655.743	769.107		553.315	675.432			727.762	1108.95		1070.16	862.272			845.861		1034.64	763.41	765.631	760.559	508.485		419.523	1028.16		567.419	1073.47					686.446	673.847		499.673	761.971		672.196			1363.59	669.85		582.671	514.325		756.037	646.751		615.614	
